,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
206,3XWZ7PNB3ei50bTPzHhqA6,Sandstorm - Radio Edit,Darude,0.494,0.99,11,-4.928,0,0.0569,0.0936,0.989,0.088,0.657,136.363,227493,4,2016-05-22T22:01:46Z
207,3XWZ7PNB3ei50bTPzHhqA6,Sandstorm - Radio Edit,Darude,0.494,0.99,11,-4.928,0,0.0569,0.0936,0.989,0.088,0.657,136.363,227493,4,2016-05-22T22:01:57Z
208,2v4n2xzNqkBKut9BcY9kGB,Take My Hand,Matt Berry,0.567,0.592,0,-6.348,1,0.0311,0.432,7.25e-05,0.129,0.316,120.05,190587,4,2016-05-27T03:03:03Z
209,5qWSWfdX6NciFEyn3Y2723,Like a Ship,Pastor T.L. Barrett and the Youth for Christ Choir,0.405,0.84,8,-8.168,1,0.0334,0.0593,0.0,0.106,0.789,169.596,278680,4,2016-05-27T03:03:09Z
210,3Z6aY997cM7QK28xjEF5EJ,Southern Nights - Remastered Version,Allen Toussaint,0.611,0.361,1,-12.958,1,0.0285,0.797,0.622,0.0823,0.485,85.786,216600,4,2016-05-27T03:36:26Z
211,3XPOwqZH6WsBLn3uURmXQ4,Come On Home,Lijadu Sisters,0.516,0.547,11,-7.851,0,0.0834,0.0796,0.000192,0.0808,0.909,96.864,316867,4,2016-06-02T04:33:44Z
212,1gKsgZI92xbjFKGDyLpTJW,Girl from the Mountain,Ghetto Brothers,0.461,0.679,10,-7.913,0,0.0323,0.358,0.000479,0.0682,0.892,122.594,264760,4,2016-06-02T20:11:01Z
213,72owuO04tFBFbYbGw84tai,Do You Want a Man - Heaven & Hell Remix,William Onyeabor,0.603,0.921,5,-3.555,0,0.0931,0.198,0.00035,0.133,0.816,122.978,145773,4,2016-06-02T20:11:09Z
214,1ETZhP9orTkDclKEyt0xqm,Fantastic Man,William Onyeabor,0.7,0.756,2,-10.714,1,0.0575,0.00182,0.711,0.0575,0.944,114.28,386160,4,2016-06-09T18:04:47Z
215,4kNDMVmapV76Bdj751l74g,Nobody Knows,Pastor T.L. Barrett and the Youth for Christ Choir,0.376,0.815,8,-9.29,1,0.0609,0.0581,0.00041,0.12,0.729,185.854,390680,4,2016-06-09T18:07:46Z
216,2WNSDa9fycsYHqH9g0EKqq,Disco Hi-Life - Original Version,Orlando Julius,0.678,0.718,7,-7.189,0,0.111,0.52,0.0842,0.0699,0.899,121.637,540987,4,2016-06-09T18:10:09Z
217,6bJDvMpB6DRJOKN4TvvKeu,Love and Death,Ebo Taylor,0.742,0.896,0,-7.208,1,0.0501,0.135,0.461,0.12,0.871,102.451,415090,4,2016-06-09T18:10:14Z
218,0vGjEmKzJMnMh6YXSV6W7A,Zion I,Cymande,0.614,0.665,7,-9.719,1,0.0404,0.0102,2.2e-05,0.085,0.84,98.795,210600,4,2016-06-09T18:12:41Z
219,2BEuUkh9r8NCYiVvSKZIol,The Revolution Will Not Be Televised,Gil Scott-Heron,0.561,0.765,11,-9.764,0,0.207,0.552,0.0,0.111,0.961,177.609,187360,4,2016-06-09T18:12:48Z
220,3q8AgabNzK1mPJdI8egIcn,Inspiration Information,Shuggie Otis,0.805,0.38,7,-16.387,1,0.0571,0.0143,0.00974,0.228,0.961,89.658,252200,4,2016-06-09T18:13:04Z
221,0fDFzVTG8c2fW9EM5f1RHM,Indian Food,Dumbo Gets Mad,0.561,0.895,2,-4.903,1,0.0529,0.766,0.67,0.124,0.634,86.808,213786,4,2016-06-09T18:13:34Z
222,4tlEIJcFo12ZzAZVzb7hmd,Shanty Town,Desmond Dekker,0.881,0.555,9,-7.89,1,0.112,0.112,0.0668,0.0784,0.839,101.671,154088,4,2016-06-09T18:15:36Z
223,3Perbj2lHtQInakz5rJcd6,It's Gonna Be A Good Day,BLO,0.626,0.673,10,-14.125,0,0.0369,0.0235,0.4,0.0961,0.716,100.818,259040,4,2016-06-09T18:18:34Z
224,4ERRb7y5vQWJpoqAK6gg5k,African Rhythms,JuJu,0.58,0.766,8,-11.854,1,0.0837,0.599,0.000144,0.0651,0.887,98.491,437867,4,2016-06-09T18:19:01Z
225,2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,Sly & The Family Stone,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,180493,4,2016-06-09T18:19:22Z
226,2GVEs1sn5Q1jB1976vQoAX,Family Affair - Single Version,Sly & The Family Stone,0.819,0.605,2,-13.83,0,0.132,0.669,0.0163,0.199,0.797,108.892,185533,4,2016-06-09T18:19:24Z
